institution_name,city,layer,corridor,text_status,image_status,image_path,notes
Javo's Jungle,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/javos-jungle/image-1.jpeg,
Ritz (after-hours club in Rhumba basement),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
El Congo (after-hours club in Rhumba basement),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Bambola Social Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Tia Juana Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Stanley's (Bar/Tavern/Lounge),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/stanleys-bar-tavern-lounge/image-1.jpeg,
Blue Note Café,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Washington Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/washington-club/image-1.jpeg,
Loendi Social and Literary Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,missing,available,assets/images/loendi-social-and-literary-club/image-1.jpeg,Needs text
Hilltop Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,missing,available,assets/images/hilltop-club/image-1.jpeg,Needs text
Crawford Grill No. 1,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/crawford-grill-no-1/image-1.jpeg,
Flamingo Hotel,Pittsburgh,Hospitality / touring infrastructure,Hill District / Centre-Wylie corridor,missing,available,assets/images/flamingo-hotel/image-1.jpeg,Needs text
Hurricane Lounge,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/hurricane-lounge/image-1.jpeg,
Birdie's Crib,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/birdies-crib/image-1.jpeg,
Labor Temple,Pittsburgh,Labor / governance infrastructure,Hill District / Centre-Wylie corridor,available,available,assets/images/labor-temple/image-1.jpeg,
Bambola / Tia Juana Club (basement),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Pittsburgh Courier (offices),Pittsburgh,Media / communication infrastructure,Hill District / Centre-Wylie corridor,available,available,assets/images/pittsburgh-courier-offices/image-1.jpeg,
Centre Street After-Hours Clubs (aggregate),Pittsburgh,Performance / nightlife venue,Centre Street / Strip District after-hours network,available,missing,,Needs image
